+-----------------------------------+-----------------+-------+
| Hostname                          | IP              | RType |
| rainbownetworkbd.com              | 103.125.254.40  |   A   |
| rangdhanu.live                    | 220.158.207.136 |   A   |
| rapid.net.bd                      | 104.21.64.142   |   A   |
| rapidnetbd.com                    | 103.224.212.221 |   A   |
| rawshanarainternet.com            | 148.163.71.201  |   A   |
| realstation.live                  | 104.21.235.59   |   A   |
| reignict.com.bd                   | 192.185.167.133 |   A   |
| rioctg.blogspot.com               | 172.217.194.132 | CNAME |
| rlcafenet.com                     | 216.250.254.221 |   A   |
| roarmediazone.com                 | 103.147.182.74  | error |
| roarzone.info                     | 103.147.182.74  |   A   |
| rocketnet.epizy.com               | 185.27.134.117  |   A   |
| rodelaonlinebd.com                | 173.249.51.35   |   A   |
| romsnetwork.com                   | 172.67.165.184  |   A   |
| rsnetbd.com                       | 51.89.181.73    |   A   |
| s-flix.live                       | 172.30.30.30    |   A   |
| s-netisp.com                      | 104.21.69.225   |   A   |
| salamonline.com.bd                | 167.88.170.167  |   A   |
| sambd.com                         | 103.55.144.140  |   A   |
| samftp.com                        | 103.55.144.140  |   A   |
| sardernet.com                     | 103.229.85.12   |   A   |
| satrong.fissabd.com               | 209.240.106.234 |   A   |
| saturninternetbd.com              | 198.54.115.55   |   A   |
| sbnetworkbd.com                   | 192.249.118.137 |   A   |
| schema.org                        | 172.217.194.139 |   A   |
| scubenetworkbd.com                | 144.168.41.30   |   A   |
| server.globalnetworkbd.com        | unresolvable    | error |
| server1.ftpbd.net                 | 103.58.73.6     |   A   |
| server1.timepassbd.com            | 69.16.231.151   | CNAME |
| server2.ftpbd.net                 | 103.58.73.7     |   A   |
| server3.ftpbd.net                 | 103.58.73.8     |   A   |
| server4.ftpbd.net                 | 103.58.73.9     |   A   |
| server5.ftpbd.net                 | 103.58.73.10    |   A   |
| serverbd247.com                   | 172.67.164.11   |   A   |
| sisbdisp.com                      | 162.210.102.233 |   A   |
| skylinkdhaka.com                  | 208.117.45.217  |   A   |
| skynet.com.bd                     | 192.185.157.83  |   A   |
| skynetchowmuhani.com              | 103.227.176.7   |   A   |
| skynetonlinebd.net                | 192.185.31.6    |   A   |
| slnisp.com.bd                     | 172.67.218.159  |   A   |
| smartbox.digital                  | 203.80.191.234  |   A   |
| smartonlinebd.com                 | 209.222.97.206  |   A   |
| smiledotnet.xyz                   | 172.102.0.3     |   A   |
| smileit.online                    | 198.54.116.43   |   A   |
| smileplex.net                     | unresolvable    | error |
| smtp.ftpbd.net                    | 208.91.199.225  | CNAME |
| snsbd.net                         | 148.163.122.28  |   A   |
| sparklinkbd.com                   | 103.148.14.147  |   A   |
| sparknetbd.com                    | 192.185.140.182 |   A   |
| speed2000bd.com                   | 147.135.11.57   |   A   |
| speed4you.net                     | 103.79.182.178  |   A   |
| speednetbd.info                   | 172.50.50.2     |   A   |
| speednetkhulna.com                | 199.188.200.186 |   A   |
| speedo.net.bd                     | 103.111.225.4   |   A   |
| spidercommunicationbd.com         | 198.54.117.197  |   A   |
| srl.dfnbd.net                     | 45.127.244.22   |   A   |
| srnetworks.webs.com               | 104.16.140.31   |   A   |
| ssonlinebd.com                    | 88.198.58.29    |   A   |
| starflixbd.com                    | 198.54.115.52   |   A   |
| store.steampowered.com            | 23.9.179.114    |   A   |
| sunftp.com                        | 72.52.179.174   | CNAME |
| sunlit.tv                         | 192.168.168.3   |   A   |
| sunonlinebd.com                   | 88.198.58.29    |   A   |
| sunplex.net                       | 103.118.76.232  |   A   |
| superlinkbd.xyz                   | 74.63.240.130   |   A   |
| supernetbd.com                    | 103.251.247.107 |   A   |
| supernetsenbag.com                | 192.185.107.114 |   A   |
| swapnonetwork.net                 | 74.63.240.130   |   A   |
| tajpata.com                       | 103.14.129.246  |   A   |
| taltola.net                       | 43.245.118.2    |   A   |
| techbanglabd.blogspot.com         | 172.217.194.132 | CNAME |
| techmediatune.com                 | 5.189.135.86    |   A   |
| tetraplex.net.bd                  | 192.168.32.2    |   A   |
| the-potato.net                    | 103.48.119.208  |   A   |
| theintrovision.com                | 23.29.122.195   |   A   |
| thepiratebay.org                  | 162.159.136.6   |   A   |
| timeloss.net                      | 23.227.38.32    |   A   |
| timenai.com                       | 103.199.155.150 |   A   |
| timepassbd.com                    | 69.16.231.151   |   A   |
| timepassbd.live                   | 103.200.36.250  |   A   |
| tnetwork.com.bd                   | 103.55.144.140  |   A   |
| todayvisionbd.com                 | 107.178.101.164 |   A   |
| tokis.xyz                         | 45.123.41.202   |   A   |
| torrent.dfnbd.net                 | 45.127.244.3    |   A   |
| torrentbd.com                     | 91.134.217.233  |   A   |
| torrentcity.net                   | 172.67.164.142  |   A   |
| torrenthome.ml                    | 195.20.50.163   |   A   |
| touchonline.net.bd                | 72.18.134.34    |   A   |
| triangle.com.bd                   | 103.40.227.25   |   A   |
| tube.dfnbd.net                    | 45.127.244.22   |   A   |
| tube.naturalbd.com                | unresolvable    | error |
| tuhinenterprise.com               | 103.251.247.107 |   A   |
| tv.bdixsports.com                 | 143.110.186.185 |   A   |
| tv.bossbd.net                     | 104.21.12.253   |   A   |
| tv.crictime.is                    | 188.166.203.57  |   A   |
| tv.dfnbd.net                      | 45.127.244.7    |   A   |
| tv.ebox.live                      | 103.49.168.170  |   A   |
| tv.eolbd.com                      | 103.224.182.245 |   A   |
| tv.exord.net                      | 67.227.226.240  | CNAME |
| tv.fanclub.rocks                  | 185.27.134.160  |   A   |
| tv.foorty.net                     | 162.213.253.84  |   A   |
| tv.ihub.live                      | 104.21.55.184   |   A   |
| tv.kronline.net                   | 66.206.9.194    |   A   |
